"a"	"b"	"c"	"d"
"ENST00000262354"	0	0	0	0
"ENST00000269844"	0	0	0	0
"ENST00000270112"	4.10179818611564	6.78315415285645	4.10179818611564	6.78315415285645
"ENST00000270139"	4.0203211524294	5.59362524684527	4.0203211524294	5.59362524684527
"ENST00000270142"	8.48498657077765	5.14232568105041	8.48498657077765	5.14232568105041
"ENST00000270162"	4.7212649368219	0	4.7212649368219	0
"ENST00000270172"	0	0	0	0
"ENST00000270190"	0.944252987364379	0	0.944252987364379	0
"ENST00000282964"	0	0	0	0
"ENST00000284878"	2.83275896209314	2.11807643371343	2.83275896209314	2.11807643371343
"ENST00000284881"	4.26783541305537	1.61252048177842	4.26783541305537	1.61252048177842
"ENST00000284885"	0	0	0	0
"ENST00000284894"	2.83275896209314	1.05903821685672	2.83275896209314	1.05903821685672
"ENST00000284971"	0	1.05903821685672	0	1.05903821685672
"ENST00000284984"	0	0	0	0
"ENST00000284987"	0	0	0	0
"ENST00000285667"	0	0	0	0
"ENST00000285670"	0	0	0	0
"ENST00000285679"	0	0	0	0
"ENST00000285681"	2.42354824001438	3.5365072580641	2.42354824001438	3.5365072580641
"ENST00000286777"	0	0	0	0
"ENST00000286788"	0	0	0	0
"ENST00000286791"	0	0	0	0
"ENST00000286800"	2.40534066054001	1.57706469319503	2.40534066054001	1.57706469319503
"ENST00000286808"	0	0	0	0
"ENST00000286827"	10.9101264000004	2.98125785285147e-06	10.9101264000004	2.98125785285147e-06
"ENST00000286835"	0.000406594731255613	0.00048368816358086	0.000406594731255613	0.00048368816358086
"ENST00000288319"	0	0	0	0
"ENST00000288344"	0	0	0	0
"ENST00000288350"	0	0	0	0
"ENST00000288383"	0	0	0	0
"ENST00000290130"	1.88850597472876	2.11807643371343	1.88850597472876	2.11807643371343
"ENST00000290155"	0	2.47402612599842e-05	0	2.47402612599842e-05
"ENST00000290178"	0	0	0	0
"ENST00000290200"	2.83275896209314	3.17711465057015	2.83275896209314	3.17711465057015
"ENST00000290219"	0	0	0	0
"ENST00000290239"	0	0	0	0
"ENST00000290244"	0	0	0	0
"ENST00000290299"	5.68744184935266	11.590053539332	5.68744184935266	11.590053539332
"ENST00000290310"	0	1.05903821685672	0	1.05903821685672
"ENST00000290349"	0	1.05903821685672	0	1.05903821685672
"ENST00000290354"	0	0	0	0
"ENST00000290399"	0	0	0	0
"ENST00000291525"	0	0	0	0
"ENST00000291526"	0	0	0	0
"ENST00000291527"	0	0	0	0
"ENST00000291532"	0	0	0	0
"ENST00000291535"	0	0	0	0
"ENST00000291536"	0.944252987364379	1.05903821685672	0.944252987364379	1.05903821685672
"ENST00000291539"	0	0	0	0
"ENST00000291547"	6.38936247010384	6.12823116420657	6.38936247010384	6.12823116420657
"ENST00000291552"	3.6121006170866	3.55929851976833	3.6121006170866	3.55929851976833
"ENST00000291554"	0	0	0	0
"ENST00000291560"	1.7888701098201	2.00672709958486	1.7888701098201	2.00672709958486
"ENST00000291565"	1.46782395361756e-06	3.68574447459181	1.46782395361756e-06	3.68574447459181
"ENST00000291568"	5.88537575765891	8.82823614665325	5.88537575765891	8.82823614665325
"ENST00000291572"	7.39409118029449	0	7.39409118029449	0
"ENST00000291574"	0	0	0	0
"ENST00000291576"	0.00925412784987932	0.00510620306040369	0.00925412784987932	0.00510620306040369
"ENST00000291577"	0	0	0	0
"ENST00000291582"	0	2.11807643371343	0	2.11807643371343
"ENST00000291592"	6.60977091155065	14.826535035994	6.60977091155065	14.826535035994
"ENST00000291634"	0	0	0	0
"ENST00000291670"	0	0	0	0
"ENST00000291672"	0	1.05903821685672	0	1.05903821685672
"ENST00000291688"	2.79176490042741	8.94542139324317	2.79176490042741	8.94542139324317
"ENST00000291691"	0	0	0	0
