target_id	length	eff_length	est_counts	tpm
ENST00000284984	5191	5016.32	0	0
ENST00000262354	1725	1550.32	0	0
ENST00000270112	7385	7210.32	6.40501	718.685
ENST00000270162	4805	4630.32	0	0
ENST00000270172	1706	1531.32	0	0
ENST00000284894	4699	4524.32	1	178.821
ENST00000285667	3986	3811.32	0	0
ENST00000284878	6254	6079.32	2	266.163
ENST00000270142	966	791.321	4.85566	4964.42
ENST00000269844	4881	4706.32	0	0
ENST00000284987	9056	8881.32	0	0
ENST00000270139	6139	5964.32	5.2818	716.463
ENST00000282964	442	267.321	0	0
ENST00000284971	614	439.321	1	1841.58
ENST00000284881	5433	5258.32	1.52263	234.271
ENST00000270190	623	448.321	0	0
ENST00000285670	2184	2009.32	0	0
ENST00000284885	3947	3772.32	0	0
ENST00000286800	5669	5494.32	1.48915	219.279
ENST00000285679	3973	3798.32	0	0
ENST00000290219	2221	2046.32	0	0
ENST00000290239	67	20.75	0	0
ENST00000288344	1303	1128.32	0	0
ENST00000288383	2733	2558.32	0	0
ENST00000286827	7200	7025.32	2.81506e-06	0.000324186
ENST00000286777	1625	1450.32	0	0
ENST00000288350	2416	2241.32	0	0
ENST00000290200	1963	1788.32	3	1357.22
ENST00000288319	4919	4744.32	0	0
ENST00000286808	1193	1018.32	0	0
ENST00000290178	2564	2389.32	0	0
ENST00000286835	4193	4018.32	0.000456724	0.0919564
ENST00000286791	1725	1550.32	0	0
ENST00000285681	5216	5041.32	3.33936	535.909
ENST00000290130	1575	1400.32	2	1155.51
ENST00000286788	2005	1830.32	0	0
ENST00000290155	1692	1517.32	2.33611e-05	0.0124563
ENST00000291634	927	752.321	0	0
ENST00000291577	1674	1499.32	0	0
ENST00000300258	2695	2520.32	0	0
ENST00000291670	1905	1730.32	0	0
ENST00000291576	3297	3122.32	0.00482155	1.24934
ENST00000300260	1243	1068.32	1.34776	1020.67
ENST00000291574	6976	6801.32	0	0
ENST00000291532	3196	3021.32	0	0
ENST00000291552	962	787.321	3.36088	3453.61
ENST00000290299	932	757.321	10.9439	11691.4
ENST00000291547	5003	4828.32	5.7866	969.617
ENST00000291700	877	702.321	0	0
ENST00000291539	2058	1883.32	0	0
ENST00000291672	2303	2128.32	1	380.133
ENST00000291688	6193	6018.32	8.44674	1135.5
ENST00000291691	2975	2800.32	0	0
ENST00000291568	2164	1989.32	8.33609	3390.24
ENST00000300305	6222	6047.32	0	0
ENST00000291535	2005	1830.32	0	0
ENST00000291705	1011	836.321	0	0
ENST00000291560	1899	1724.32	1.89486	889.061
ENST00000300278	7477	7302.32	0	0
ENST00000299443	1826	1651.32	0	0
ENST00000291582	2257	2082.32	2	777.061
ENST00000290244	1685	1510.32	0	0
ENST00000290399	4442	4267.32	0	0
ENST00000299340	3101	2926.32	0	0
ENST00000291592	5869	5694.32	14	1989.11
ENST00000291554	1139	964.321	0	0
ENST00000290349	1293	1118.32	1	723.447
ENST00000291526	737	562.321	0	0
ENST00000290354	1169	994.321	0	0
ENST00000299295	2548	2373.32	0	0
ENST00000290310	1051	876.321	1	923.23
ENST00000291536	1430	1255.32	1	644.493
ENST00000291525	407	232.321	0	0
ENST00000291572	5546	5371.32	0	0
ENST00000300481	5627	5452.32	0	0
ENST00000291565	7366	7191.32	3.48028	391.541
ENST00000291527	551	376.321	0	0
ENST00000300255	1998	1823.32	0	0
ENST00000311124	3811	3636.32	2	444.98
ENST00000334849	440	265.321	0	0
ENST00000314103	4480	4305.32	7	1315.42
ENST00000339818	2233	2058.32	0	0
ENST00000320216	966	791.321	0	0
ENST00000311003	1181	1006.32	3	2411.89
ENST00000303113	2028	1853.32	0	0
ENST00000328619	660	485.321	0	0
ENST00000303775	4865	4690.32	5	862.463
ENST00000334063	522	347.321	0	0
ENST00000334165	1778	1603.32	0	0
ENST00000334897	313	140.932	0	0
ENST00000339775	1485	1310.32	6.4281e-06	0.00396897
ENST00000309117	3256	3081.32	6.36575e-08	1.67142e-05
ENST00000338326	1974	1799.32	0	0
ENST00000319294	2504	2329.32	2.9969	1040.91
ENST00000318948	7556	7381.32	3.07142	336.649
ENST00000329623	5844	5669.32	0	0
ENST00000330714	3042	2867.32	10.2864	2902.43
ENST00000327574	2583	2408.32	2.80631	942.746
ENST00000324988	607	432.321	0	0
ENST00000329553	2235	2060.32	0	0
ENST00000342220	3386	3211.32	0.955152	240.637
ENST00000332149	3205	3030.32	0	0
ENST00000334055	380	205.321	0	0
ENST00000328344	530	355.321	0	0
ENST00000336648	6010	5835.32	6.28558	871.472
ENST00000333634	1251	1076.32	0	0
ENST00000332512	3889	3714.32	5	1089.09
ENST00000314399	1625	1450.32	0	0
ENST00000335440	1728	1553.32	0	0
ENST00000333892	440	265.321	0	0
ENST00000331343	4825	4650.32	0	0
ENST00000329319	1019	844.321	0	0
ENST00000328264	1098	923.321	0	0
ENST00000334160	211	55.9948	0	0
ENST00000329618	1357	1182.32	0	0
ENST00000329015	2141	1966.32	0	0
ENST00000334494	1334	1159.32	1.82231	1271.72
ENST00000339944	440	265.321	0	0
ENST00000333229	10141	9966.32	7.93533	644.174
ENST00000341618	1855	1680.32	0	0
ENST00000310826	7449	7274.32	0	0
ENST00000338785	5518	5343.32	1.23504	187.001
ENST00000332131	3015	2840.32	0	0
ENST00000334538	3077	2902.32	0	0
ENST00000330551	1033	858.321	0	0
ENST00000337909	1361	1186.32	0	0
ENST00000334664	275	106.183	0	0
ENST00000339024	2066	1891.32	0	0
ENST00000340344	4676	4501.32	16.9056	3038.53
ENST00000342108	1453	1278.32	0	0
ENST00000332473	296	125.605	0	0
ENST00000330333	2993	2818.32	0	0
ENST00000330317	1471	1296.32	1.50385	938.568
ENST00000330942	721	546.321	0	0
ENST00000334151	461	286.321	0	0
ENST00000303071	2170	1995.32	0	0
ENST00000309331	813	638.321	0	0
ENST00000300482	5989	5814.32	0	0
ENST00000340648	5090	4915.32	0	0
ENST00000312957	4209	4034.32	0	0
ENST00000303645	935	760.321	0	0
ENST00000330490	823	648.321	0	0
ENST00000335512	1883	1708.32	0	0
ENST00000329122	500	325.321	0	0
ENST00000330798	384	209.321	0	0
ENST00000325223	1283	1108.32	1.38887	1013.84
ENST00000330938	2760	2585.32	0	0
ENST00000332440	579	404.321	0	0
ENST00000334352	3004	2829.32	0	0
ENST00000335093	599	424.321	0	0
ENST00000331923	3995	3820.32	0	0
ENST00000329667	562	387.321	0	0
ENST00000332859	1807	1632.32	0	0
ENST00000342101	2606	2431.32	0	0
ENST00000341322	2495	2320.32	4.71863	1645.29
ENST00000302347	2955	2780.32	0	0
ENST00000300527	3461	3286.32	0	0
ENST00000339195	890	715.321	0	0
ENST00000334068	797	622.321	1	1300.05
ENST00000334067	671	496.321	0	0
ENST00000334662	876	701.321	0	0
ENST00000307301	1199	1024.32	0	0
ENST00000330205	1182	1007.32	0	0
ENST00000334046	330	156.681	0	0
ENST00000332587	1476	1301.32	0	0
ENST00000331573	2154	1979.32	0	0
ENST00000340345	1650	1475.32	0	0
ENST00000332378	912	737.321	0	0
ENST00000313806	2490	2315.32	0	0
ENST00000320371	421	246.321	0	0
ENST00000339659	6607	6432.32	0	0
ENST00000333337	3262	3087.32	0	0
ENST00000333781	1616	1441.32	0	0
ENST00000334058	310	137.932	0	0
ENST00000328735	2824	2649.32	2.02062	617.053
ENST00000342136	2899	2724.32	1.90758	566.496
ENST00000329621	556	381.321	0	0
ENST00000327505	3589	3414.32	5.22758	1238.71
ENST00000310645	3446	3271.32	0	0
ENST00000334680	296	125.605	0	0
ENST00000327783	3179	3004.32	0	0
ENST00000334670	1237	1062.32	0	0
ENST00000323084	3967	3792.32	0	0
ENST00000328656	8399	8224.32	1.47869	145.462
ENST00000328862	1956	1781.32	0	0
ENST00000337385	3347	3172.32	0	0
ENST00000381132	2408	2233.32	0	0
ENST00000381995	1742	1567.32	0	0
ENST00000364942	116	40.1739	0	0
ENST00000381284	949	774.321	0	0
ENST00000382375	2453	2278.32	2.96656	1053.44
ENST00000359759	6586	6411.32	0	0
ENST00000362828	102	33.2632	0	0
ENST00000365369	105	34.55	0	0
ENST00000358268	2564	2389.32	0	0
ENST00000344577	1652	1477.32	0	0
ENST00000380620	13170	12995.3	0	0
ENST00000361093	2149	1974.32	0	0
ENST00000385060	65	21.4286	0	0
ENST00000362936	118	40.4583	0	0
ENST00000347800	2923	2748.32	0	0
ENST00000343687	3037	2862.32	0	0
ENST00000367071	971	796.321	0	0
ENST00000348831	6882	6707.32	0	0
ENST00000363343	108	37.55	0	0
ENST00000365469	141	35.36	0	0
ENST00000354828	5120	4945.32	0	0
ENST00000365114	102	33.2632	0	0
ENST00000382826	273	104.183	0	0
ENST00000380637	1014	839.321	0	0
ENST00000357704	552	377.321	0	0
ENST00000385128	89	27.5333	0	0
ENST00000354250	1575	1400.32	0	0
ENST00000382549	2503	2328.32	0	0
ENST00000380900	907	732.321	2	2209.54
ENST00000352133	3664	3489.32	3.65542	847.559
ENST00000381151	11576	11401.3	6	425.764
ENST00000362077	641	466.321	0	0
ENST00000344330	1009	834.321	0	0
ENST00000381679	7860	7685.32	4.07126	428.588
ENST00000379960	3026	2851.32	1.53106	434.431
ENST00000380634	816	641.321	0	0
ENST00000380008	3466	3291.32	0	0
ENST00000348990	3355	3180.32	0	0
ENST00000382491	6958	6783.32	0.0383988	4.57981
ENST00000351097	2158	1983.32	0	0
ENST00000360770	739	564.321	0	0
ENST00000363884	108	37.55	0	0
ENST00000361802	3034	2859.32	0	0
ENST00000379571	2060	1885.32	0	0
ENST00000348499	1506	1331.32	0	0
ENST00000384906	81	23.3077	0	0
ENST00000380749	1383	1208.32	0	0
ENST00000361534	2224	2049.32	1.28484	507.238
