geneA.name	geneA.id	geneB.name	geneB.id	paircount	splitcount	transcripts.list
BMPR1A	ENSG00000107779	CTBP2	ENSG00000175029	0	1	ENST00000530884_0:339_ENST00000372037_270:11255
URB1	ENSG00000142207	MIS18A	ENSG00000159055	0	1	ENST00000382751_0:6750_ENST00000290130_389:1575
SLC6A16	ENSG00000063127	TEAD2	ENSG00000074219	0	1	ENST00000311227_0:1321_ENST00000454748_138:2983;ENST00000601519_0:1324_ENST00000454748_138:2983;ENST00000601519_0:1324_ENST00000335875_178:2938;ENST00000598810_0:1348_ENST00000335875_178:2938;ENST00000311227_0:1321_ENST00000335875_178:2938;ENST00000539846_0:1088_ENST00000454748_138:2983;ENST00000377214_0:1602_ENST00000335875_178:2938;ENST00000377214_0:1602_ENST00000454748_138:2983;ENST00000539846_0:1088_ENST00000335875_178:2938;ENST00000593945_0:1298_ENST00000335875_178:2938;ENST00000598810_0:1348_ENST00000454748_138:2983;ENST00000593945_0:1298_ENST00000454748_138:2983
JADE1	ENSG00000077684	SMU1	ENSG00000122692	0	1	ENST00000610919_0:1134_ENST00000397149_1341:7122;ENST00000512960_0:1380_ENST00000397149_1341:7122;ENST00000511647_0:1182_ENST00000397149_1341:7122;ENST00000226319_0:1262_ENST00000397149_1341:7122;ENST00000611140_0:1138_ENST00000397149_1341:7122;ENST00000413543_0:1085_ENST00000397149_1341:7122;ENST00000452328_0:1034_ENST00000397149_1341:7122
TMEM161B	ENSG00000164180	PRMT3	ENSG00000185238	0	1	ENST00000514135_0:110_ENST00000437750_838:1736;ENST00000296595_0:128_ENST00000331079_1210:2653;ENST00000514135_0:110_ENST00000331079_1210:2653;ENST00000296595_0:128_ENST00000437750_838:1736
AMBRA1	ENSG00000110497	GJC1	ENSG00000182963	0	1	ENST00000458649_0:2940_ENST00000591424_179:586;ENST00000533727_0:2405_ENST00000591424_179:586;ENST00000314845_0:2611_ENST00000591424_179:586;ENST00000528950_0:2726_ENST00000591424_179:586;ENST00000528950_0:2726_ENST00000426548_174:7640;ENST00000458649_0:2940_ENST00000426548_174:7640;ENST00000534300_0:2655_ENST00000591424_179:586;ENST00000534300_0:2655_ENST00000426548_174:7640;ENST00000533727_0:2405_ENST00000426548_174:7640;ENST00000314845_0:2611_ENST00000426548_174:7640
TDP1	ENSG00000042088	LTBP1	ENSG00000049323	0	1	ENST00000404525_0:3792_ENST00000393452_1069:2370;ENST00000402934_0:3800_ENST00000555880_780:1894;ENST00000404525_0:3792_ENST00000335725_1020:3702;ENST00000402934_0:3800_ENST00000335725_1020:3702;ENST00000404816_0:5183_ENST00000393452_1069:2370;ENST00000402934_0:3800_ENST00000393454_810:2068;ENST00000404816_0:5183_ENST00000393454_810:2068;ENST00000402934_0:3800_ENST00000393452_1069:2370;ENST00000418533_0:3867_ENST00000393454_810:2068;ENST00000404525_0:3792_ENST00000393454_810:2068;ENST00000407925_0:3933_ENST00000555880_780:1894;ENST00000418533_0:3867_ENST00000555880_780:1894;ENST00000418533_0:3867_ENST00000393452_1069:2370;ENST00000418533_0:3867_ENST00000335725_1020:3702;ENST00000407925_0:3933_ENST00000393452_1069:2370;ENST00000404525_0:3792_ENST00000555880_780:1894;ENST00000404816_0:5183_ENST00000335725_1020:3702;ENST00000404816_0:5183_ENST00000555880_780:1894;ENST00000407925_0:3933_ENST00000335725_1020:3702;ENST00000407925_0:3933_ENST00000393454_810:2068
NFIL3	ENSG00000165030	GATC	ENSG00000257218	0	1	ENST00000229384_0:253_ENST00000297689_223:2085;ENST00000551765_0:297_ENST00000297689_223:2085
IL32	ENSG00000008517	SORL1	ENSG00000137642	0	1	ENST00000526464_0:487_ENST00000532694_3492:3692;ENST00000525228_0:216_ENST00000260197_6702:10904;ENST00000526464_0:487_ENST00000525532_3643:3836;ENST00000525228_0:216_ENST00000532694_3492:3692;ENST00000526464_0:487_ENST00000534286_3314:3501;ENST00000525228_0:216_ENST00000534286_3314:3501;ENST00000525228_0:216_ENST00000527934_2839:3032;ENST00000526464_0:487_ENST00000527934_2839:3032;ENST00000525228_0:216_ENST00000525532_3643:3836;ENST00000526464_0:487_ENST00000260197_6702:10904
XRCC1	ENSG00000073050	UGGT2	ENSG00000102595	0	1	ENST00000376747_0:3524_ENST00000598165_129:913;ENST00000376747_0:3524_ENST00000262887_619:2802
