"target_id"	"ens_gene"	"ext_gene"	"pval"	"qval"	"test_stat"	"rss"	"degrees_free"	"mean_obs"	"var_obs"	"tech_var"	"sigma_sq"	"smooth_sigma_sq"	"final_sigma_sq"
"1"	"ENST00000630077"	"ENSG00000159082"	"SYNJ1"	8.42864639470631e-66	7.92292761102394e-64	293.537615040007	7.0467187988155	1	0.634135645255214	2.34890626627183	0	2.34890626627183	0	2.34890626627183
"2"	"ENST00000398600"	"ENSG00000157601"	"MX1"	8.94391572239872e-65	4.2036403895274e-63	288.829829152642	5.76581414440578	1	0.507458306726134	1.92193804813526	0	1.92193804813526	0	1.92193804813526
"3"	"ENST00000397852"	"ENSG00000160255"	"ITGB2"	2.35497127250348e-26	6.98597480394465e-25	112.826583385786	9.68476795630099	1	0.86287081068413	3.22825598543366	3.84324598570599e-12	3.22825598542982	0	3.22825598542982
"4"	"ENST00000455164"	"ENSG00000157601"	"MX1"	2.97275523572113e-26	6.98597480394465e-25	112.364694391968	9.68509395832245	1	0.862896999269346	3.22836465277415	4.31381743340128e-12	3.22836465276984	0	3.22836465276984
"5"	"ENST00000342449"	"ENSG00000185658"	"BRWD1"	8.61279706189724e-10	1.61920584763668e-08	37.6161600406523	0.0746521775646351	1	2.72672848402182	0.0248840591882118	4.3402965446309e-06	0.0248797188916671	0	0.0248797188916671
"6"	"ENST00000397857"	"ENSG00000160255"	"ITGB2"	2.28611016838387e-08	3.58157259713474e-07	31.2349663748659	10.4638698365489	1	0.926048005791937	3.48795661218298	0.00299915250992674	3.48495745967305	0	3.48495745967305
"7"	"ENST00000496121"	"ENSG00000156261"	"CCT8"	1.83494064123303e-07	2.46406314679864e-06	27.1996270823791	6.83851596541982	1	0.614380636105901	2.27950532180661	0.00537526010082277	2.27413006170579	0	2.27413006170579
"8"	"ENST00000398505"	"ENSG00000173276"	"ZBTB21"	4.01379480968447e-07	4.71620890137926e-06	25.6876886915435	6.13936416217663	1	0.54573983630001	2.04645472072554	0.00704235053725422	2.03941237018829	0	2.03941237018829
"9"	"ENST00000398158"	"ENSG00000160200"	"CBS"	4.66877658050771e-07	4.87627776186361e-06	25.3960311743106	8.00824850730205	1	0.721795265911116	2.66941616910068	0.00988093626217631	2.65953523283851	0	2.65953523283851
"10"	"ENST00000474114"	"ENSG00000141959"	"PFKL"	1.66168218849403e-06	1.56198125718439e-05	22.9511795011993	6.89336636846477	1	0.619613876188842	2.29778878948826	0.0156725013186738	2.28211628816958	0	2.28211628816958
"11"	"ENST00000491298"	"ENSG00000141959"	"PFKL"	5.63999840459093e-06	4.81963500028679e-05	20.6066459585054	6.38725505500856	1	0.570503785392338	2.12908501833619	0.0260961060035004	2.10298891233269	0	2.10298891233269
"12"	"ENST00000347667"	"ENSG00000182240"	"BACE2"	8.0421639209857e-06	6.2996950714388e-05	19.927817152923	0.477329299845656	1	1.51283659169678	0.159109766615219	0.00231090686992078	0.156798859745298	0	0.156798859745298
"13"	"ENST00000270162"	"ENSG00000142178"	"SIK1"	1.29410494303715e-05	9.35737420349936e-05	19.0191888850538	5.50318524512413	1	0.479796258520146	1.83439508170804	0.0334373262751066	1.80095775543294	0	1.80095775543294
"14"	"ENST00000291572"	"ENSG00000160216"	"AGPAT3"	7.12173513921064e-05	0.000478173645061286	15.7782277711871	7.61352517497847	1	0.686483673598013	2.53784172499282	0.104012630765372	2.43382909422745	0	2.43382909422745
"15"	"ENST00000466846"	"ENSG00000159086"	"PAXBP1"	0.000261151563315765	0.00163654979677879	13.3303012384873	0.680435552332166	1	1.37488245014164	0.226811850777389	0.0171422386267839	0.209669612150605	0	0.209669612150605
"16"	"ENST00000491703"	"ENSG00000241837"	"ATP5PO"	0.000297680993134653	0.00174887583466609	13.0849297786489	5.53856301808179	1	0.483560410356527	1.84618767269393	0.148360575211572	1.69782709748236	0	1.69782709748236
"17"	"ENST00000613488"	"ENSG00000275993"	"SIK1B"	0.000475382058278152	0.00262858314577331	12.2098362820216	6.9461580968951	1	0.624631072494708	2.31538603229836	0.231567784139517	2.08381824815885	0	2.08381824815885
"18"	"ENST00000397728"	"ENSG00000160285"	"LSS"	0.00104643842824129	0.00518848041107528	10.7435421759818	7.65389782547679	1	0.690136758611329	2.55129927515893	0.368143380815057	2.18315589434387	0	2.18315589434387
"19"	"ENST00000438952"	"ENSG00000159082"	"SYNJ1"	0.00104873540223862	0.00518848041107528	10.7394845813863	7.42348883091835	1	0.66915682652863	2.47449627697278	0.35742336820549	2.11707290876729	0	2.11707290876729
"20"	"ENST00000330714"	"ENSG00000183486"	"MX2"	0.00166026860552615	0.00780326244597293	9.89168955146247	1.29229343461583	1	1.8646674554409	0.430764478205278	0.0769102454608498	0.353854232744428	0	0.353854232744428
"21"	"ENST00000381151"	"ENSG00000198743"	"SLC5A3"	0.00219134617565529	0.00895593654398251	9.38193087185313	0.522275096411164	1	2.28620889244121	0.174091698803721	0.0353076426811119	0.13878405612261	0	0.13878405612261
"22"	"ENST00000400362"	"ENSG00000223768"	"LINC00205"	0.00207910155626423	0.00895593654398251	9.47835636903238	0.770972751369551	1	2.13711674277112	0.256990917123184	0.0508790704841915	0.206111846638992	0	0.206111846638992
"23"	"ENST00000609713"	"ENSG00000157542"	"KCNJ6"	0.00215148339392357	0.00895593654398251	9.4155898803421	1.1113330493323	1	1.39776696663861	0.370444349777432	0.0745004943056849	0.295943855471747	0	0.295943855471747
"24"	"ENST00000447844"	"ENSG00000217026"	"RPL10P1"	0.00262253679891204	0.0102716024624055	9.05307286332656	1.43489907286839	1	1.46960441938098	0.47829969095613	0.105316414346485	0.372983276609646	0	0.372983276609646
"25"	"ENST00000471909"	"ENSG00000160214"	"RRP1"	0.00279721538085949	0.0105175298320317	8.93523460917949	9.57558074177698	1	0.854074582938825	3.19186024725899	0.723825631659203	2.46803461559979	0	2.46803461559979
"26"	"ENST00000427447"	"ENSG00000237945"	"LINC00649"	0.00327310857030899	0.0118335463695786	8.64861061000985	0.220592258496484	1	1.4875048827843	0.0735307528321614	0.017913436470892	0.0556173163612693	0	0.0556173163612693
